,Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
141,Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200;880;144
142,Casa;Benfica;1;0;0;33;1200;;
143,Quitinete;Glória;1;0;0;16;1400;300;210
144,Conjunto Comercial/Sala;Centro;0;0;0;212;13000;4700;1350
145,Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;490;450;525
146,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;20;445;791;1041
147,Apartamento;Praça Seca;2;0;0;80;900;350;
148,Apartamento;Vila Isabel;1;0;0;37;1000;285;24
149,Galpão/Depósito/Armazém;Quintino Bocaiúva;0;0;0;550;4300;;
150,Conjunto Comercial/Sala;Campo Grande;0;0;0;20;800;;
151,Conjunto Comercial/Sala;São Francisco Xavier;0;1;0;27;1500;580;
152,Apartamento;Copacabana;3;0;0;150;5500;1780;420
153,Apartamento;Lagoa;3;1;1;127;5000;1540;370
154,Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700;652;104
155,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;1300;935;217
156,Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;28;800;550;
157,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;45;1600;1100;350
158,Apartamento;Barra da Tijuca;3;2;1;128;3000;1384;324
159,Terreno Padrão;Barra da Tijuca;0;0;0;1110;140000;;
160,Apartamento;Gávea;3;1;1;160;8000;2000;
161,Conjunto Comercial/Sala;Centro;0;0;0;154;3900;5100;559
162,Apartamento;Copacabana;3;1;1;200;6200;1800;420
163,Apartamento;Barra da Tijuca;2;1;0;58;1500;666;106
164,Apartamento;Botafogo;3;1;1;100;5500;1300;220
165,Apartamento;Barra da Tijuca;4;2;3;320;5500;2700;800
166,Apartamento;Rocha Miranda;2;1;0;50;1100;;
167,Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000;1040;112
168,Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;21;1200;588;
169,Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;500;600;85
170,Apartamento;Ipanema;2;0;2;52;10000;3689;393
171,Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;48;2000;1064;
172,Loja/Salão;Barra da Tijuca;0;1;0;120;4000;1400;1500
173,Apartamento;Leblon;4;4;4;380;40000;4700;1500
174,Conjunto Comercial/Sala;Centro;0;0;0;35;1000;322;33
175,Conjunto Comercial/Sala;Tijuca;0;1;0;20;1000;690;58
176,Loja/Salão;Barra da Tijuca;0;1;0;50;4500;1172;1327
177,Apartamento;Recreio dos Bandeirantes;3;2;1;104;2200;740;258
178,Conjunto Comercial/Sala;Centro;0;0;0;120;3000;1380;509
179,Apartamento;Barra da Tijuca;2;1;1;72;2600;1700;237
180,Apartamento;Taquara;2;1;0;75;1200;330;75
181,Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;8;0;380;18000;5276;1851
182,Apartamento;Botafogo;4;1;1;190;5500;1720;350
183,Quitinete;Catete;0;0;0;20;700;500;28
184,Apartamento;Ipanema;4;6;1;700;65000;8860;5699
185,Apartamento;Méier;2;0;0;56;899;402;135
186,Conjunto Comercial/Sala;Centro;0;0;0;270;7000;2800;1249
187,Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200;600;54
188,Apartamento;Lagoa;3;1;2;105;3600;1100;281
189,Apartamento;Copacabana;3;1;1;500;15000;2580;366
190,Apartamento;Tijuca;3;0;0;87;1600;650;100
191,Apartamento;Botafogo;1;0;0;35;1500;470;50
192,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;24;700;628;1120
193,Conjunto Comercial/Sala;Tijuca;0;0;0;21;1000;520;116
194,Apartamento;Barra da Tijuca;1;1;1;65;2350;;
195,Apartamento;Ipanema;3;3;1;220;22000;4000;1200
196,Apartamento;Copacabana;3;0;0;100;3300;850;90
197,Apartamento;Barra da Tijuca;3;1;2;93;2500;1100;
198,Apartamento;Engenho Novo;2;2;0;78;800;915;55
199,Apartamento;Barra da Tijuca;2;1;1;85;2500;1573;197
200,Apartamento;Leblon;2;1;1;115;7500;980;270
201,Apartamento;Botafogo;2;1;1;70;3700;1133;147
202,Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600;650;
203,Apartamento;Barra da Tijuca;4;4;4;392;30000;7000;3000
204,Casa Comercial;Botafogo;0;0;0;220;16000;;
205,Apartamento;Campo Grande;2;0;0;60;1200;570;
206,Apartamento;Flamengo;1;0;0;40;1900;430;54
207,Box/Garagem;Tijuca;0;0;0;0;380;;
208,Apartamento;Engenho de Dentro;3;1;1;61;1400;498;
209,Apartamento;Copacabana;3;2;1;250;7000;1500;434
210,Flat;Copacabana;1;1;0;63;3600;1215;
211,Flat;Leblon;1;0;1;50;4500;1300;150
212,Apartamento;Ipanema;3;2;1;200;15000;1500;572
213,Apartamento;Copacabana;3;1;0;140;3700;1347;
214,Loja/Salão;Maracanã;0;0;0;85;6500;;385
215,Apartamento;Copacabana;2;0;0;50;2500;750;760
216,Casa;Jardim Carioca;3;2;1;135;3000;;
217,Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;58;2100;495;140
218,Apartamento;Tijuca;3;1;1;78;2500;730;178
219,Conjunto Comercial/Sala;Copacabana;0;2;0;210;25200;6300;1890
220,Quitinete;Centro;0;0;0;28;700;400;16
221,Apartamento;Lagoa;3;1;1;75;4000;1250;309
222,Conjunto Comercial/Sala;Tijuca;0;1;0;32;900;450;
223,Apartamento;Recreio dos Bandeirantes;3;2;1;102;1850;882;
224,Apartamento;Tijuca;1;0;0;65;1200;320;
225,Apartamento;Barra da Tijuca;2;1;0;60;1500;1266;233
226,Apartamento;Copacabana;4;1;2;210;13000;2200;650
227,Apartamento;Maracanã;3;2;3;158;2400;1265;
228,Apartamento;Barra da Tijuca;2;1;1;83;2000;1548;260
229,Apartamento;Laranjeiras;5;2;1;400;9000;3000;
230,Apartamento;Barra da Tijuca;3;1;1;84;1900;1103;212
231,Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600;850;165
232,Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;24;650;530;170
233,Apartamento;São Conrado;4;4;4;510;25000;6600;
234,Apartamento;Tijuca;3;0;0;75;1800;350;
235,Apartamento;Ipanema;3;1;1;126;5500;1400;2000
236,Casa;Lins de Vasconcelos;2;0;0;40;950;;50
237,Apartamento;Leblon;4;2;2;250;17500;4990;620
238,Conjunto Comercial/Sala;Botafogo;0;8;0;463;92600;11843;14355
239,Conjunto Comercial/Sala;Centro;0;0;0;190;4500;886;
240,Conjunto Comercial/Sala;Centro;0;0;0;185;3000;10046;462
241,Conjunto Comercial/Sala;Centro;0;4;0;230;7000;3130;1202
242,Conjunto Comercial/Sala;Centro;0;0;0;55;1760;1420;
243,Apartamento;Copacabana;4;2;2;436;17000;3900;1000
244,Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;80;2800;560;
245,Apartamento;Freguesia (Jacarepaguá);3;3;2;173;3200;1800;
246,Apartamento;Tijuca;2;1;1;71;1500;600;
247,Apartamento;Barra da Tijuca;2;1;1;81;1900;1200;121
248,Casa de Condomínio;Barra da Tijuca;4;2;4;595;30000;2500;2510
249,Apartamento;Leblon;3;1;0;87;3800;970;273
250,Loja/Salão;Copacabana;0;0;0;13;1500;520;95
251,Loja/Salão;Barra da Tijuca;0;1;0;95;15000;1800;1000
252,Conjunto Comercial/Sala;Centro;0;0;0;150;4000;2000;700
253,Casa de Condomínio;Recreio dos Bandeirantes;4;4;4;267;6500;700;3308
